--------------------------------------------------------------------------------------------------------
system size:                                                                                       512  
d-field:                                                                                           0    
beta:                                                                                              10   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -716.8011.2e+02 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 909.927 1.6e+06 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
330   -0.001        4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
331   0.002         4.2e-02   0.668        1.2e-02   -0.002   1.5e-01   
332   -0.002        4.3e-02   0.668        1.2e-02   0.004    1.5e-01   
333   0.001         4.2e-02   0.667        1.2e-02   -0.008   1.5e-01   
334   -0.002        4.2e-02   0.667        1.2e-02   0.007    1.5e-01   
335   0.003         4.2e-02   0.666        1.2e-02   -0.004   1.5e-01   
336   -0.002        4.1e-02   0.666        1.2e-02   0.003    1.5e-01   
337   0.001         4.2e-02   0.666        1.2e-02   -0.004   1.5e-01   
338   -0.000        4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
339   -0.000        4.1e-02   0.666        1.2e-02   -0.003   1.5e-01   
340   -0.000        4.1e-02   0.667        1.3e-02   0.003    1.5e-01   
341   -0.000        4.1e-02   0.666        1.2e-02   -0.004   1.5e-01   
342   0.001         4.1e-02   0.667        1.2e-02   0.004    1.5e-01   
343   -0.002        4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
344   0.001         4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
345   -0.002        4.1e-02   0.666        1.2e-02   -0.004   1.5e-01   
346   0.003         4.1e-02   0.665        1.2e-02   0.004    1.5e-01   
347   -0.003        4.1e-02   0.666        1.2e-02   -0.004   1.5e-01   
348   0.003         4.1e-02   0.667        1.2e-02   0.004    1.5e-01   
349   -0.003        4.2e-02   0.668        1.2e-02   -0.001   1.5e-01   
350   0.003         4.1e-02   0.667        1.2e-02   -0.001   1.5e-01   
351   -0.003        4.2e-02   0.667        1.2e-02   -0.002   1.5e-01   
352   0.002         4.2e-02   0.666        1.2e-02   0.001    1.5e-01   
353   -0.002        4.2e-02   0.666        1.2e-02   -0.000   1.5e-01   
354   0.002         4.2e-02   0.669        1.2e-02   -0.000   1.5e-01   
355   -0.001        4.2e-02   0.668        1.2e-02   -0.000   1.5e-01   
356   0.001         4.2e-02   0.668        1.2e-02   0.002    1.5e-01   
357   -0.001        4.2e-02   0.667        1.3e-02   -0.004   1.5e-01   
358   0.001         4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
359   -0.001        4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
360   0.000         4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
361   -0.000        4.2e-02   0.666        1.2e-02   -0.002   1.5e-01   
362   0.001         4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
363   -0.000        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
364   0.001         4.2e-02   0.666        1.2e-02   0.000    1.5e-01   
365   -0.001        4.2e-02   0.667        1.2e-02   0.000    1.5e-01   
366   0.001         4.2e-02   0.667        1.2e-02   -0.000   1.5e-01   
367   -0.000        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
368   0.000         4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
369   -0.001        4.2e-02   0.667        1.2e-02   0.000    1.5e-01   
370   -0.001        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
371   0.001         4.1e-02   0.666        1.2e-02   -0.001   1.5e-01   
372   -0.002        4.1e-02   0.666        1.2e-02   0.002    1.5e-01   
373   0.001         4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
374   -0.002        4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
375   0.002         4.2e-02   0.666        1.2e-02   -0.004   1.5e-01   
376   -0.001        4.1e-02   0.666        1.2e-02   0.003    1.5e-01   
377   0.001         4.1e-02   0.666        1.2e-02   -0.003   1.5e-01   
378   -0.000        4.1e-02   0.666        1.2e-02   0.002    1.5e-01   
379   0.000         4.1e-02   0.666        1.2e-02   -0.000   1.5e-01   
380   0.000         4.1e-02   0.666        1.2e-02   -0.003   1.5e-01   
381   -0.001        4.1e-02   0.666        1.2e-02   0.002    1.5e-01   
382   0.001         4.2e-02   0.667        1.2e-02   -0.002   1.5e-01   
383   0.000         4.2e-02   0.666        1.2e-02   0.000    1.5e-01   
384   -0.000        4.2e-02   0.667        1.2e-02   -0.002   1.5e-01   
385   0.000         4.2e-02   0.667        1.2e-02   0.005    1.5e-01   
386   -0.000        4.2e-02   0.667        1.2e-02   -0.006   1.5e-01   
387   -0.000        4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
388   0.000         4.2e-02   0.667        1.2e-02   -0.005   1.5e-01   
389   -0.001        4.2e-02   0.666        1.2e-02   0.008    1.5e-01   
390   0.001         4.1e-02   0.665        1.2e-02   -0.007   1.5e-01   
391   -0.001        4.2e-02   0.665        1.2e-02   0.007    1.5e-01   
392   0.000         4.2e-02   0.666        1.2e-02   -0.010   1.5e-01   
393   -0.001        4.2e-02   0.668        1.2e-02   0.012    1.5e-01   
394   0.001         4.3e-02   0.667        1.2e-02   -0.013   1.5e-01   
395   -0.001        4.3e-02   0.665        1.2e-02   0.010    1.5e-01   
396   0.001         4.2e-02   0.666        1.2e-02   -0.008   1.5e-01   
397   -0.001        4.2e-02   0.667        1.2e-02   0.009    1.5e-01   
398   0.001         4.2e-02   0.666        1.2e-02   -0.010   1.5e-01   
399   -0.000        4.2e-02   0.666        1.2e-02   0.010    1.5e-01   
400   -0.001        4.2e-02   0.667        1.2e-02   -0.007   1.5e-01   
401   0.000         4.2e-02   0.665        1.2e-02   0.008    1.5e-01   
402   0.002         4.2e-02   0.667        1.2e-02   -0.008   1.5e-01   
403   -0.003        4.2e-02   0.666        1.2e-02   0.006    1.5e-01   
404   0.002         4.2e-02   0.667        1.2e-02   -0.006   1.5e-01   
405   -0.001        4.2e-02   0.667        1.2e-02   0.005    1.5e-01   
406   0.001         4.2e-02   0.666        1.2e-02   -0.005   1.5e-01   
407   0.000         4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
408   0.000         4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
409   -0.001        4.2e-02   0.666        1.2e-02   0.003    1.5e-01   
410   0.000         4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
411   0.001         4.2e-02   0.667        1.2e-02   0.006    1.5e-01   
412   -0.001        4.2e-02   0.668        1.2e-02   -0.005   1.5e-01   
413   -0.000        4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
414   0.001         4.2e-02   0.667        1.3e-02   -0.005   1.5e-01   
415   -0.000        4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
416   0.000         4.2e-02   0.667        1.2e-02   -0.005   1.5e-01   
417   0.000         4.2e-02   0.667        1.2e-02   0.005    1.5e-01   
418   -0.001        4.2e-02   0.666        1.2e-02   -0.005   1.5e-01   
419   0.003         4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
420   -0.003        4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
421   0.002         4.2e-02   0.666        1.2e-02   0.006    1.5e-01   
422   -0.002        4.2e-02   0.667        1.2e-02   -0.005   1.5e-01   
423   0.001         4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
424   -0.001        4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
425   0.000         4.2e-02   0.667        1.2e-02   0.000    1.5e-01   
426   0.001         4.2e-02   0.665        1.3e-02   0.002    1.5e-01   
427   0.001         4.2e-02   0.666        1.3e-02   -0.004   1.5e-01   
428   -0.000        4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
429   -0.000        4.2e-02   0.666        1.2e-02   -0.004   1.5e-01   
430   0.001         4.3e-02   0.666        1.2e-02   0.003    1.5e-01   
431   -0.002        4.3e-02   0.666        1.3e-02   -0.003   1.5e-01   
432   0.001         4.3e-02   0.667        1.2e-02   0.002    1.5e-01   
433   -0.001        4.2e-02   0.665        1.2e-02   -0.001   1.5e-01   
434   0.002         4.2e-02   0.666        1.2e-02   0.001    1.5e-01   
435   -0.003        4.2e-02   0.665        1.2e-02   -0.002   1.5e-01   
436   0.002         4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
437   -0.001        4.2e-02   0.666        1.2e-02   -0.003   1.5e-01   
438   0.002         4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
439   -0.002        4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
440   0.002         4.1e-02   0.666        1.3e-02   0.004    1.5e-01   
441   -0.002        4.2e-02   0.666        1.2e-02   -0.003   1.5e-01   
442   0.001         4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
443   -0.000        4.2e-02   0.666        1.2e-02   -0.003   1.5e-01   
444   0.001         4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
445   -0.001        4.1e-02   0.666        1.2e-02   -0.003   1.5e-01   
446   0.000         4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
447   0.000         4.2e-02   0.666        1.2e-02   -0.003   1.5e-01   
448   -0.000        4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
449   0.001         4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
450   -0.001        4.2e-02   0.666        1.2e-02   -0.000   1.5e-01   
451   0.001         4.1e-02   0.666        1.2e-02   0.002    1.5e-01   
452   -0.000        4.1e-02   0.667        1.2e-02   -0.005   1.5e-01   
453   -0.001        4.1e-02   0.667        1.2e-02   0.005    1.5e-01   
454   0.001         4.1e-02   0.667        1.2e-02   -0.004   1.5e-01   
455   -0.000        4.1e-02   0.666        1.2e-02   0.004    1.5e-01   
456   0.000         4.2e-02   0.667        1.2e-02   -0.005   1.5e-01   
457   -0.001        4.2e-02   0.667        1.2e-02   0.006    1.5e-01   
458   0.001         4.2e-02   0.666        1.2e-02   -0.007   1.5e-01   
459   -0.002        4.2e-02   0.666        1.3e-02   0.005    1.5e-01   
460   -0.000        4.2e-02   0.666        1.3e-02   -0.003   1.5e-01   
461   -0.000        4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
462   0.001         4.2e-02   0.667        1.3e-02   -0.002   1.5e-01   
463   -0.001        4.2e-02   0.668        1.2e-02   0.003    1.5e-01   
464   0.002         4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
465   -0.000        4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
466   0.001         4.2e-02   0.666        1.2e-02   -0.002   1.5e-01   
467   -0.000        4.1e-02   0.666        1.2e-02   0.003    1.5e-01   
468   -0.001        4.1e-02   0.667        1.2e-02   -0.001   1.5e-01   
469   0.001         4.1e-02   0.666        1.2e-02   0.004    1.5e-01   
470   -0.001        4.2e-02   0.667        1.2e-02   -0.005   1.5e-01   
471   0.000         4.2e-02   0.668        1.2e-02   0.003    1.5e-01   
472   -0.000        4.2e-02   0.668        1.2e-02   -0.002   1.5e-01   
473   0.001         4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
474   -0.000        4.2e-02   0.666        1.2e-02   -0.002   1.5e-01   
475   0.000         4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
476   -0.000        4.1e-02   0.667        1.2e-02   -0.003   1.5e-01   
477   0.000         4.1e-02   0.666        1.2e-02   0.003    1.5e-01   
478   0.001         4.2e-02   0.666        1.2e-02   -0.004   1.5e-01   
479   -0.001        4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
480   0.000         4.2e-02   0.667        1.2e-02   -0.002   1.5e-01   
481   -0.001        4.2e-02   0.666        1.2e-02   -0.000   1.5e-01   
482   0.001         4.2e-02   0.667        1.2e-02   -0.002   1.5e-01   
483   -0.001        4.2e-02   0.665        1.2e-02   0.002    1.5e-01   
484   0.002         4.2e-02   0.667        1.2e-02   -0.000   1.5e-01   
485   -0.004        4.1e-02   0.666        1.2e-02   -0.001   1.5e-01   
486   0.005         4.1e-02   0.666        1.3e-02   0.002    1.5e-01   
487   -0.005        4.1e-02   0.667        1.2e-02   -0.002   1.5e-01   
488   0.005         4.1e-02   0.667        1.2e-02   0.001    1.5e-01   
489   -0.005        4.2e-02   0.667        1.2e-02   -0.000   1.5e-01   
490   0.006         4.2e-02   0.667        1.2e-02   0.000    1.5e-01   
491   -0.007        4.2e-02   0.668        1.2e-02   -0.001   1.5e-01   
492   0.007         4.2e-02   0.668        1.2e-02   0.004    1.5e-01   
493   -0.010        4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
494   0.011         4.1e-02   0.667        1.2e-02   0.002    1.5e-01   
495   -0.011        4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
496   0.012         4.2e-02   0.668        1.2e-02   0.002    1.5e-01   
497   -0.014        4.1e-02   0.668        1.2e-02   -0.003   1.5e-01   
498   0.015         4.2e-02   0.666        1.2e-02   0.003    1.5e-01   
499   -0.018        4.2e-02   0.666        1.2e-02   -0.004   1.5e-01   
500   0.024         4.1e-02   0.667        1.2e-02   0.004    1.5e-01   
501   -0.031        4.1e-02   0.668        1.2e-02   -0.006   1.5e-01   
502   0.036         4.1e-02   0.667        1.2e-02   0.007    1.5e-01   
503   -0.045        4.1e-02   0.666        1.2e-02   -0.007   1.5e-01   
504   0.056         4.1e-02   0.667        1.2e-02   0.005    1.5e-01   
505   -0.069        4.0e-02   0.666        1.2e-02   -0.004   1.5e-01   
506   0.086         3.9e-02   0.667        1.2e-02   0.003    1.5e-01   
507   -0.110        3.8e-02   0.666        1.2e-02   -0.000   1.5e-01   
508   0.140         3.7e-02   0.667        1.2e-02   -0.000   1.5e-01   
509   -0.194        3.4e-02   0.667        1.2e-02   0.000    1.5e-01   
510   0.252         3.1e-02   0.667        1.2e-02   -0.000   1.5e-01   
511   -0.468        2.0e-02   0.668        1.2e-02   -0.000   1.5e-01   
