--------------------------------------------------------------------------------------------------------
system size:                                                                                       512  
d-field:                                                                                           0    
beta:                                                                                              10   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -716.8011.2e+02 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 909.927 1.6e+06 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
80    -0.000        4.1e-02   0.667        1.2e-02   0.004    1.5e-01   
81    -0.001        4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
82    0.001         4.2e-02   0.666        1.2e-02   0.003    1.5e-01   
83    -0.003        4.2e-02   0.667        1.2e-02   -0.000   1.5e-01   
84    0.003         4.2e-02   0.667        1.2e-02   -0.000   1.5e-01   
85    -0.003        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
86    0.003         4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
87    -0.003        4.2e-02   0.665        1.2e-02   -0.001   1.5e-01   
88    0.003         4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
89    -0.002        4.2e-02   0.666        1.2e-02   0.003    1.5e-01   
90    0.002         4.2e-02   0.666        1.3e-02   -0.003   1.5e-01   
91    -0.002        4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
92    0.001         4.2e-02   0.665        1.2e-02   -0.000   1.5e-01   
93    -0.002        4.2e-02   0.667        1.2e-02   -0.000   1.5e-01   
94    0.002         4.2e-02   0.667        1.2e-02   0.000    1.5e-01   
95    -0.001        4.2e-02   0.666        1.2e-02   0.000    1.5e-01   
96    0.001         4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
97    -0.001        4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
98    0.001         4.2e-02   0.668        1.2e-02   0.001    1.5e-01   
99    -0.001        4.2e-02   0.666        1.2e-02   -0.002   1.5e-01   
100   -0.000        4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
101   0.001         4.2e-02   0.666        1.2e-02   -0.002   1.5e-01   
102   -0.000        4.2e-02   0.666        1.2e-02   0.003    1.5e-01   
103   -0.000        4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
104   -0.000        4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
105   0.001         4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
106   0.000         4.2e-02   0.666        1.2e-02   0.005    1.5e-01   
107   -0.001        4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
108   -0.000        4.2e-02   0.669        1.2e-02   0.001    1.5e-01   
109   -0.001        4.2e-02   0.667        1.3e-02   0.001    1.5e-01   
110   0.001         4.2e-02   0.666        1.2e-02   -0.000   1.5e-01   
111   -0.001        4.3e-02   0.666        1.2e-02   -0.000   1.5e-01   
112   0.001         4.3e-02   0.667        1.3e-02   -0.002   1.5e-01   
113   -0.001        4.2e-02   0.666        1.2e-02   0.001    1.5e-01   
114   0.003         4.2e-02   0.665        1.2e-02   -0.001   1.5e-01   
115   -0.002        4.1e-02   0.665        1.2e-02   0.002    1.5e-01   
116   -0.000        4.1e-02   0.666        1.2e-02   -0.003   1.5e-01   
