--------------------------------------------------------------------------------------------------------
system size:                                                                                       128  
d-field:                                                                                           0    
beta:                                                                                              25   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -179.3601.1e-01 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 93.238  4.1e+00 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
81    -0.000        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
82    0.001         4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
83    -0.000        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
84    0.000         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
85    -0.000        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
86    -0.000        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
87    -0.000        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
88    0.001         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
89    -0.000        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
90    -0.000        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
91    0.001         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
92    -0.002        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
93    0.001         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
94    -0.001        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
95    0.001         4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
96    -0.001        4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
97    0.002         4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
98    -0.001        4.1e-03   0.668        2.2e-03   0.668    2.2e-03   
99    -0.000        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
100   0.001         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
101   -0.000        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
102   0.001         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
103   -0.002        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
104   0.002         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
105   -0.002        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
106   0.003         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
107   -0.004        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
108   0.004         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
109   -0.005        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
110   0.006         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
111   -0.008        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
112   0.010         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
113   -0.012        4.1e-03   0.667        2.2e-03   0.667    2.2e-03   
114   0.015         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
115   -0.019        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
116   0.023         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
117   -0.028        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
118   0.035         4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
119   -0.043        4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
120   0.053         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
121   -0.067        4.0e-03   0.666        2.2e-03   0.666    2.2e-03   
122   0.083         4.0e-03   0.667        2.2e-03   0.667    2.2e-03   
123   -0.109        3.9e-03   0.667        2.2e-03   0.667    2.2e-03   
124   0.139         3.8e-03   0.667        2.2e-03   0.667    2.2e-03   
125   -0.191        3.6e-03   0.667        2.2e-03   0.667    2.2e-03   
126   0.250         3.4e-03   0.667        2.2e-03   0.667    2.2e-03   
127   -0.467        2.8e-03   0.667        2.2e-03   0.667    2.2e-03   
